City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1282256,Hithadhoo,41,MV,1603343923,74,-0.6,73.08,83.05,12.91
5797693,Hoquiam,1,US,1603344025,65,46.98,-123.89,46.0,3.36
4026082,Lázaro Cárdenas,75,MX,1603343961,87,17.96,-102.2,79.97,4.0
1106643,Quatre Cocos,40,MU,1603344026,61,-20.21,57.76,79.0,13.87
1280037,Shache,0,CN,1603344026,22,38.42,77.24,65.17,2.04
2522325,Agüimes,20,ES,1603344026,77,27.91,-15.45,66.2,8.05
3139516,Sjøvegan,75,NO,1603344026,68,68.87,17.85,30.2,11.41
5855927,Hilo,1,US,1603343620,69,19.73,-155.09,78.8,3.6
515805,Oktyabr'skoye,88,RU,1603344027,93,43.06,44.74,39.2,6.71
5866583,Saint Paul Harbor,1,US,1603343924,56,57.79,-152.41,44.6,18.34
3571913,Marsh Harbour,100,BS,1603344027,76,26.54,-77.06,80.2,16.71
1807339,Huangmei,0,CN,1603344028,39,30.19,116.03,73.65,5.99
2629833,Husavik,20,IS,1603344028,86,66.04,-17.34,30.2,4.7
1786538,Yining,0,CN,1603344028,36,29.04,114.56,73.8,4.83
5848280,Kapaa,75,US,1603344028,78,22.08,-159.32,78.8,5.82
3883457,Lebu,11,CL,1603343914,86,-37.62,-73.65,46.22,15.99
3430863,Mar del Plata,64,AR,1603343998,81,-38.0,-57.56,55.0,13.87
3471451,Arraial do Cabo,22,BR,1603343948,87,-22.97,-42.03,72.3,12.68
5924351,Clyde River,1,CA,1603343930,72,70.47,-68.59,17.6,6.93
2159220,Mackay,13,AU,1603343937,45,-21.15,149.2,84.2,12.75
486413,Suksun,100,RU,1603344031,96,57.14,57.39,28.81,14.43
546105,Nikolskoye,90,RU,1603343926,93,59.7,30.79,41.0,8.95
3838859,Río Gallegos,100,AR,1603343848,81,-51.62,-69.22,44.6,3.36
934649,Cap Malheureux,28,MU,1603344028,66,-19.98,57.61,79.0,11.01
1337610,Thinadhoo,34,MV,1603343835,74,0.53,72.93,83.43,13.15
2074865,Carnarvon,0,AU,1603343927,44,-24.87,113.63,77.0,19.46
2037485,Erenhot,0,CN,1603344033,57,43.65,111.98,38.41,11.59
3443061,Chui,75,UY,1603343918,78,-33.7,-53.46,57.79,12.44
2136825,Isangel,75,VU,1603344033,70,-19.55,169.27,84.2,6.93
1263752,Māngrol,0,IN,1603344034,59,21.12,70.12,85.69,6.73
1507565,Dalmatovo,97,RU,1603344034,93,56.26,62.94,32.85,10.29
2121025,Srednekolymsk,17,RU,1603343901,90,67.45,153.68,18.32,6.17
5554428,Ketchikan,20,US,1603343911,80,55.34,-131.65,39.2,6.93
4033557,Tautira,75,PF,1603344034,78,-17.73,-149.15,78.8,3.36
6185377,Yellowknife,90,CA,1603343651,85,62.46,-114.35,23.0,8.05
2171099,Codrington,86,AU,1603344035,77,-38.27,141.97,57.38,12.33
2236568,Uíge,100,AO,1603344035,95,-7.61,15.06,67.33,1.77
5282297,Bethel,90,US,1603343981,100,41.37,-73.41,64.99,2.95
5563397,Eureka,10,US,1603343900,82,40.8,-124.16,52.0,1.99
1714733,Dingle,20,PH,1603343963,73,11.0,122.67,86.83,16.28
2094342,Kavieng,42,PG,1603344010,66,-2.57,150.8,84.72,7.18
6535469,Marmora,71,IT,1603344037,100,44.46,7.09,51.8,1.12
2094027,Kieta,61,PG,1603344030,73,-6.22,155.63,83.32,7.61
2396853,Omboué,100,GA,1603343828,90,-1.57,9.26,76.17,8.63
3458147,Mafra,49,BR,1603344037,94,-26.11,-49.81,57.0,1.99
262629,Eresós,40,GR,1603343925,72,39.17,25.93,62.6,3.36
1337617,Muli,11,MV,1603344038,78,2.92,73.57,82.51,13.4
4034551,Faanui,57,PF,1603344031,77,-16.48,-151.75,79.05,12.53
3423146,Ilulissat,100,GL,1603343985,86,69.22,-51.1,28.4,8.05
1259184,Puri,90,IN,1603344039,100,19.8,85.85,77.0,6.93
1214026,Sabang,100,ID,1603344024,75,5.89,95.32,83.12,15.21
3402000,Codó,0,BR,1603344039,89,-4.46,-43.89,72.88,3.31
293842,Kiryat Gat,0,IL,1603343909,82,31.61,34.76,70.0,3.65
2360372,Gorom-Gorom,34,BF,1603344040,28,14.44,-0.24,86.43,5.28
6113406,Prince Rupert,1,CA,1603344040,93,54.32,-130.32,37.4,8.05
4315067,Ascension,1,US,1603344040,94,30.22,-90.9,72.0,4.34
1692364,Puro,89,PH,1603344040,71,12.48,123.38,86.86,11.1
4362001,Mayo,1,US,1603343942,100,38.89,-76.51,66.2,7.02
1337612,Dhidhdhoo,100,MV,1603343935,77,6.88,73.1,82.18,12.91
3192327,Prnjavor,68,BA,1603344041,93,44.87,17.66,42.8,4.7
6180550,Whitehorse,20,CA,1603343923,66,60.72,-135.05,12.2,6.93
935214,Saint-Pierre,20,RE,1603344042,65,-21.34,55.48,80.6,23.04
1855540,Naze,75,JP,1603344042,88,28.37,129.48,78.8,17.22
3928128,Tacna,89,PE,1603344042,80,-18.01,-70.25,64.0,3.0
650946,Kotka,90,FI,1603344028,100,60.47,26.95,46.99,10.29
4726521,San Patricio,20,US,1603344031,83,28.02,-97.52,79.0,9.17
2026583,Bodaybo,99,RU,1603344043,92,57.85,114.19,31.96,4.56
2101169,Aitape,89,PG,1603344043,75,-3.14,142.35,81.72,3.09
1262067,Nalgonda,67,IN,1603344044,63,17.05,79.27,84.74,6.87
5880054,Barrow,90,US,1603343701,94,71.29,-156.79,33.8,18.34
934322,Mahébourg,40,MU,1603343930,61,-20.41,57.7,78.8,13.87
1795632,Shenjiamen,99,CN,1603344044,80,29.96,122.3,64.87,17.47
4031574,Provideniya,90,RU,1603343957,86,64.38,-173.3,41.0,8.95
1272201,Dūngarpur,20,IN,1603344045,32,23.83,73.72,89.35,6.15
3466704,Castro,39,BR,1603343900,90,-24.79,-50.01,58.66,10.49
468030,Yelat'ma,100,RU,1603344045,94,54.97,41.75,34.9,5.14
3988392,Rosarito,90,MX,1603344046,72,32.33,-117.03,66.2,2.82
2027044,Batagay,95,RU,1603344046,94,67.63,134.63,14.18,3.0
1500399,Lokosovo,100,RU,1603344046,97,61.13,74.82,30.06,4.9
167046,Maşyāf,0,SY,1603344046,68,35.07,36.34,68.0,4.7
1726449,Basco,60,PH,1603344047,85,20.45,121.97,83.97,9.93
962367,Richards Bay,39,ZA,1603344047,73,-28.78,32.04,67.93,7.83
4034188,Moerai,72,PF,1603344048,85,-22.43,-151.33,74.82,15.79
3992842,Petatlán,100,MX,1603344048,89,17.52,-101.27,77.14,2.15
